Company,Date,UnixTS,Retweets,Followers,Sentiments
MSFT,2016-06-14,1465948620,6,105,Neutral
MSFT,2016-06-14,1465948560,0,739,Negative
MSFT,2016-06-14,1465948500,683,506,Neutral
MSFT,2016-06-14,1465948260,0,2823,Neutral
MSFT,2016-06-14,1465947420,3,52,Neutral
MSFT,2016-06-14,1465947300,0,14,Highly Negative
MSFT,2016-06-14,1465947120,1,28264,Negative
MSFT,2016-06-14,1465947000,0,554,Positive
MSFT,2016-06-14,1465947000,0,1261,Neutral
MSFT,2016-06-14,1465947000,0,2335,Neutral
MSFT,2016-06-14,1465946700,0,249,Neutral
MSFT,2016-06-14,1465946700,116,13,Neutral
MSFT,2016-06-14,1465946340,1,1761,Neutral
MSFT,2016-06-14,1465946280,0,131,Neutral
MSFT,2016-06-14,1465946280,1,381,Negative
MSFT,2016-06-14,1465946220,0,381,Negative
MSFT,2016-06-14,1465946160,0,113,Neutral
MSFT,2016-06-14,1465945800,0,538,Negative
MSFT,2016-06-14,1465945740,0,6417,Neutral
MSFT,2016-06-14,1465945500,0,860,Positive
MSFT,2016-06-14,1465945320,0,7907,Neutral
MSFT,2016-06-14,1465945140,0,3502,Neutral
MSFT,2016-06-14,1465944960,1,6417,Neutral
MSFT,2016-06-14,1465944960,0,2112,Negative
MSFT,2016-06-14,1465944840,0,339,Neutral
MSFT,2016-06-14,1465944660,0,603,Neutral
MSFT,2016-06-14,1465944600,0,2767,Neutral
MSFT,2016-06-14,1465944540,0,603,Neutral
MSFT,2016-06-14,1465944540,0,139,Positive
MSFT,2016-06-14,1465944480,0,635,Neutral
MSFT,2016-06-14,1465944480,0,4646,Neutral
MSFT,2016-06-14,1465944300,0,30091,Neutral
MSFT,2016-06-14,1465944240,0,419,Negative
MSFT,2016-06-14,1465944240,0,377,Neutral
MSFT,2016-06-14,1465944060,0,900,Neutral
MSFT,2016-06-14,1465944060,0,170,Neutral
MSFT,2016-06-14,1465944060,0,638,Neutral
MSFT,2016-06-14,1465944060,0,57,Negative
MSFT,2016-06-14,1465944000,0,377,Neutral
MSFT,2016-06-14,1465943880,13,7,Neutral
MSFT,2016-06-14,1465943820,0,3027,Neutral
MSFT,2016-06-14,1465943460,2,427,Neutral
MSFT,2016-06-14,1465943460,0,2120,Negative
MSFT,2016-06-14,1465943460,0,377,Neutral
MSFT,2016-06-14,1465943400,24,2104,Neutral
MSFT,2016-06-14,1465943400,0,6235,Neutral
MSFT,2016-06-14,1465943400,0,1875,Neutral
MSFT,2016-06-14,1465943340,0,170,Neutral
MSFT,2016-06-14,1465943100,0,377,Positive
MSFT,2016-06-14,1465943040,0,489,Neutral
MSFT,2016-06-14,1465943040,0,170,Neutral
MSFT,2016-06-14,1465943040,0,377,Neutral
MSFT,2016-06-14,1465942860,0,170,Neutral
MSFT,2016-06-14,1465942860,0,55,Neutral
MSFT,2016-06-14,1465942560,0,79,Neutral
MSFT,2016-06-14,1465942560,1,28214,Neutral
MSFT,2016-06-14,1465942560,6,28264,Neutral
MSFT,2016-06-14,1465942500,21,913,Negative
MSFT,2016-06-14,1465942440,0,154,Neutral
MSFT,2016-06-14,1465942260,0,1184,Neutral
MSFT,2016-06-14,1465942260,0,59,Neutral
MSFT,2016-06-14,1465942200,0,2402,Neutral
MSFT,2016-06-14,1465942140,6,97,Neutral
MSFT,2016-06-14,1465942080,116,199,Neutral
MSFT,2016-06-14,1465941960,0,299,Neutral
MSFT,2016-06-14,1465941900,0,8165,Neutral
MSFT,2016-06-14,1465941780,0,77,Neutral
MSFT,2016-06-14,1465941720,1,18127,Neutral
MSFT,2016-06-14,1465941720,0,281,Positive
MSFT,2016-06-14,1465941720,1,170,Neutral
MSFT,2016-06-14,1465941660,1,18127,Neutral
MSFT,2016-06-14,1465941600,21,4123,Negative
MSFT,2016-06-14,1465941540,1,4220,Negative
MSFT,2016-06-14,1465941480,0,95,Positive
MSFT,2016-06-14,1465941480,1,67329,Neutral
MSFT,2016-06-14,1465941420,3,141,Neutral
MSFT,2016-06-14,1465941420,21,4828,Negative
MSFT,2016-06-14,1465941300,0,2823,Neutral
MSFT,2016-06-14,1465941240,0,148,Neutral
MSFT,2016-06-14,1465941180,0,970,Neutral
MSFT,2016-06-14,1465941000,0,3027,Neutral
MSFT,2016-06-14,1465940880,6,122431,Neutral
MSFT,2016-06-14,1465940820,1,2046,Neutral
MSFT,2016-06-14,1465940700,0,1815,Neutral
MSFT,2016-06-14,1465940700,21,1686,Negative
MSFT,2016-06-14,1465940520,21,11506,Negative
MSFT,2016-06-14,1465940460,5,4716,Neutral
MSFT,2016-06-14,1465940400,1,601,Neutral
MSFT,2016-06-14,1465940100,0,92,Neutral
MSFT,2016-06-14,1465940040,1,18127,Positive
MSFT,2016-06-14,1465939980,2,103,Negative
MSFT,2016-06-14,1465939920,0,545,Neutral
MSFT,2016-06-14,1465939920,0,167071,Neutral
MSFT,2016-06-14,1465939800,1,3699,Neutral
MSFT,2016-06-14,1465939740,0,970,Neutral
MSFT,2016-06-14,1465939620,0,80,Neutral
MSFT,2016-06-14,1465939620,0,6606,Neutral
MSFT,2016-06-14,1465939320,1,74,Negative
MSFT,2016-06-14,1465939140,1,279,Negative
MSFT,2016-06-14,1465939080,21,523,Negative
MSFT,2016-06-14,1465939080,0,2664,Neutral
MSFT,2016-06-14,1465939080,28,174,Positive
MSFT,2016-06-14,1465938840,0,51,Neutral
MSFT,2016-06-14,1465938660,0,591,Neutral
MSFT,2016-06-14,1465938540,0,377,Neutral
MSFT,2016-06-14,1465938300,0,575,Neutral
MSFT,2016-06-14,1465938240,0,305,Neutral
MSFT,2016-06-14,1465938180,0,167070,Negative
MSFT,2016-06-14,1465938060,0,2823,Neutral
MSFT,2016-06-14,1465938060,2,257948,Negative
MSFT,2016-06-14,1465937940,7,294,Neutral
MSFT,2016-06-14,1465937820,28,11,Positive
MSFT,2016-06-14,1465937760,0,749,Neutral
MSFT,2016-06-14,1465937700,0,806,Positive
MSFT,2016-06-14,1465937640,0,1649,Neutral
MSFT,2016-06-14,1465937340,0,851,Neutral
MSFT,2016-06-14,1465937220,0,260,Neutral
MSFT,2016-06-14,1465937220,0,1152,Negative
MSFT,2016-06-14,1465936860,2,1137,Neutral
MSFT,2016-06-14,1465936860,0,339,Neutral
MSFT,2016-06-14,1465936800,0,26,Neutral
MSFT,2016-06-14,1465936800,1,1561,Neutral
MSFT,2016-06-14,1465936620,0,5118,Neutral
MSFT,2016-06-14,1465936620,0,387,Neutral
MSFT,2016-06-14,1465936500,0,385,Neutral
MSFT,2016-06-14,1465936500,0,102,Negative
MSFT,2016-06-14,1465936440,0,7287,Neutral
MSFT,2016-06-14,1465936440,0,352,Neutral
MSFT,2016-06-14,1465936380,21,126,Negative
MSFT,2016-06-14,1465936320,0,424,Neutral
MSFT,2016-06-14,1465936080,0,281,Neutral
MSFT,2016-06-14,1465936080,0,3502,Negative
MSFT,2016-06-14,1465936020,0,12002,Neutral
MSFT,2016-06-14,1465935840,1,27,Neutral
MSFT,2016-06-14,1465935840,0,2515,Highly Negative
MSFT,2016-06-14,1465935780,89,88,Neutral
MSFT,2016-06-14,1465935720,2,6376,Positive
MSFT,2016-06-14,1465935600,0,771,Negative
MSFT,2016-06-14,1465935600,21,50,Negative
MSFT,2016-06-14,1465935540,683,90,Neutral
MSFT,2016-06-14,1465935360,5,921,Neutral
MSFT,2016-06-14,1465935300,0,218,Neutral
MSFT,2016-06-14,1465935300,0,371,Neutral
MSFT,2016-06-14,1465935240,5,186,Neutral
MSFT,2016-06-14,1465935180,0,67,Neutral
MSFT,2016-06-14,1465935180,5,147,Neutral
MSFT,2016-06-14,1465935180,46,7303,Neutral
MSFT,2016-06-14,1465935120,21,20588,Negative
MSFT,2016-06-14,1465935060,5,760,Neutral
MSFT,2016-06-14,1465934880,0,1459,Neutral
MSFT,2016-06-14,1465934880,5,726213,Neutral
MSFT,2016-06-14,1465934880,0,925,Positive
MSFT,2016-06-14,1465934820,0,2226,Neutral
MSFT,2016-06-14,1465934760,0,868,Neutral
MSFT,2016-06-14,1465934700,0,771,Neutral
MSFT,2016-06-14,1465934700,0,4909,Neutral
MSFT,2016-06-14,1465934640,0,3,Negative
MSFT,2016-06-14,1465934640,0,1589,Neutral
MSFT,2016-06-14,1465934580,0,638,Neutral
MSFT,2016-06-14,1465934460,0,806,Negative
MSFT,2016-06-14,1465934400,0,12549,Neutral
MSFT,2016-06-14,1465934400,0,3699,Neutral
MSFT,2016-06-14,1465934340,0,3699,Negative
MSFT,2016-06-14,1465934280,1,128,Neutral
MSFT,2016-06-14,1465934100,21,99,Negative
MSFT,2016-06-14,1465933920,1,7131,Neutral
MSFT,2016-06-14,1465933860,0,950,Negative
MSFT,2016-06-14,1465933740,1,10989,Neutral
MSFT,2016-06-14,1465933680,1,68,Negative
MSFT,2016-06-14,1465933620,0,287,Neutral
MSFT,2016-06-14,1465933560,0,102,Neutral
MSFT,2016-06-14,1465933560,3,28264,Neutral
MSFT,2016-06-14,1465933560,1,1157,Neutral
MSFT,2016-06-14,1465933560,1,28194,Neutral
MSFT,2016-06-14,1465933500,138,153,Neutral
MSFT,2016-06-14,1465933500,7,278,Neutral
MSFT,2016-06-14,1465933500,7,314,Neutral
MSFT,2016-06-14,1465933500,7,311,Neutral
MSFT,2016-06-14,1465933500,7,296,Neutral
MSFT,2016-06-14,1465933500,7,305,Neutral
MSFT,2016-06-14,1465933500,7,216,Neutral
MSFT,2016-06-14,1465933380,0,608,Neutral
MSFT,2016-06-14,1465933380,0,771,Neutral
MSFT,2016-06-14,1465933380,7,1165,Neutral
MSFT,2016-06-14,1465933380,3,1570,Neutral
MSFT,2016-06-14,1465933260,0,946,Neutral
MSFT,2016-06-14,1465933200,0,13914,Neutral
MSFT,2016-06-14,1465933140,0,972,Highly Positive
MSFT,2016-06-14,1465933080,0,331,Neutral
MSFT,2016-06-14,1465933080,0,2297,Neutral
MSFT,2016-06-14,1465933080,0,221,Neutral
MSFT,2016-06-14,1465933020,0,2823,Neutral
MSFT,2016-06-14,1465932780,0,842,Neutral
MSFT,2016-06-14,1465932600,1,1296,Neutral
MSFT,2016-06-14,1465932480,0,154,Neutral
MSFT,2016-06-14,1465932300,2,90,Neutral
MSFT,2016-06-14,1465932300,2,1357,Neutral
MSFT,2016-06-14,1465932240,0,618,Neutral
MSFT,2016-06-14,1465932180,0,1030,Neutral
MSFT,2016-06-14,1465932120,0,875,Neutral
MSFT,2016-06-14,1465932000,0,630,Highly Negative
MSFT,2016-06-14,1465931820,8,1699,Neutral
MSFT,2016-06-14,1465931700,3,4296,Neutral
MSFT,2016-06-14,1465931700,0,36541,Positive
MSFT,2016-06-14,1465931580,0,1030,Neutral
MSFT,2016-06-14,1465931520,0,2254,Neutral
MSFT,2016-06-14,1465931400,0,29,Neutral
MSFT,2016-06-14,1465931400,0,591,Neutral
MSFT,2016-06-14,1465931340,21,500,Negative
MSFT,2016-06-14,1465931340,0,281,Neutral
MSFT,2016-06-14,1465931340,3,1198,Neutral
MSFT,2016-06-14,1465931160,0,3502,Neutral
MSFT,2016-06-14,1465931100,3,972,Neutral
